기준년도,업종대분류명,업종중분류명,법인명,브랜드명,가맹점수,신규가맹점등록수,계약종료수,계약해지수,명변경수,평균매출금액,면적단위평균매출금액
2018,외식,기타 외국식,포앤시드니묵동자이점,포앤시드니(Pho&amp;Sydney),1,0,0,0,0,0,0
2018,외식,기타 외국식,포첸하우스(Phochenhouse),포첸하우스(Phochenhouse),0,0,0,0,0,0,0
2018,외식,기타 외국식,포호아코리아(주),포호아,6,1,0,2,0,490273,18182
2018,외식,기타 외국식,하와이새우트럭,하와이새우트럭,14,8,3,0,0,0,0
2018,외식,기타 외국식,홍대쌀국수,홍대쌀국수,3,3,0,0,0,0,0
2018,외식,기타 외식,(유)굴세상,굴세상,86,6,1,11,4,197663,5064
2018,외식,기타 외식,(유)남도에프앤비,백합이 칼국수,0,0,0,0,0,0,0
2018,외식,기타 외식,(유)대동상회,대동,36,2,8,4,4,191262,7753
2018,외식,기타 외식,(유)서빈글로벌,할매닭발,3,3,0,0,0,0,0
2018,외식,기타 외식,(유)콩샌,콩샌,39,2,0,3,0,98520,4338
2018,외식,기타 외식,(유)황가네푸드,황가네꼼닭,9,3,0,0,2,182229,8282
2018,외식,기타 외식,(주)948에프엔비,948키친(948Kitchen),3,0,0,4,0,0,0
2018,외식,기타 외식,(주)가로수브루잉컴퍼니,가로수 맥주,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)가배두림,가배두림,11,0,4,0,0,429675,22115
2018,외식,기타 외식,(주)강경푸드,강경불고기,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)강남로하스,강남교자,21,7,0,6,0,376148,14357
2018,외식,기타 외식,(주)강남식품1번가,강남꼬치1번가,3,0,0,0,1,0,0
2018,외식,기타 외식,(주)강남에프앤비,화덕고깃간,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)거당파트너스,김부삼,11,2,0,0,0,668797,17149
2018,외식,기타 외식,(주)거룩한일오삼,연어로만,12,5,0,1,0,317565,14268
2018,외식,기타 외식,(주)겐돈에프앤비,겐돈소바,3,0,0,1,0,0,0
2018,외식,기타 외식,(주)계경원,푸릴리,11,6,0,2,0,368209,7235
2018,외식,기타 외식,(주)계백미트농업회사법인,무한갈비만세,16,6,0,5,1,371282,8380
2018,외식,기타 외식,(주)계영에프앤비,하몽하몽이베리코,3,3,0,0,0,0,0
2018,외식,기타 외식,(주)고덕에프앤비,함스갈비집,2,0,0,1,2,0,0
2018,외식,기타 외식,(주)고반에프앤비,고반식당,12,8,0,0,3,751274,17929
2018,외식,기타 외식,(주)고정남리퍼블릭,쭈꾸미밥상,6,2,0,0,1,956166,13660
2018,외식,기타 외식,(주)골든하인드,에그드랍(EGG DROP),2,2,0,0,0,0,0
2018,외식,기타 외식,(주)곰스푸드,곰스 603,7,5,0,0,0,348720,17011
2018,외식,기타 외식,(주)곽두리,곽두리쪽갈비,11,2,4,1,1,121743,7049
2018,외식,기타 외식,(주)광개토에프에스,원조 김할머니의령소바,12,3,0,1,0,229700,7912
2018,외식,기타 외식,(주)교동컴퍼니,고양이부엌,13,7,0,3,0,183930,10041
2018,외식,기타 외식,(주)구슬함박,구슬함박,8,2,0,0,0,739638,16294
2018,외식,기타 외식,(주)그린아일랜드,제주석갈비,12,12,0,0,0,0,0
2018,외식,기타 외식,(주)그릴식탁,우시야,3,3,0,0,1,0,0
2018,외식,기타 외식,(주)글로벌푸드시스템,고요남,60,49,0,2,1,1715499,23568
2018,외식,기타 외식,(주)금강브루어리,바이젠하우스,11,1,0,1,0,0,0
2018,외식,기타 외식,(주)금표에프앤디,은하철도 곱곱곱,17,8,3,0,0,188415,9980
2018,외식,기타 외식,(주)기성피제이에스,곱창이야기,64,14,11,3,5,355040,20120
2018,외식,기타 외식,(주)깐깐한패밀리,깐깐한족발,15,7,0,0,2,599291,14828
2018,외식,기타 외식,(주)나도람에프씨,하남닭뽂상회,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)나무에프엠디,뜨돈(DD&#39;DON),7,5,0,0,0,463805,10261
2018,외식,기타 외식,(주)나운에프에스,원당감자탕,36,3,5,0,0,0,0
